標,kSimplifiedVariant,标
樞,kSimplifiedVariant,枢
樢,kSimplifiedVariant,㭤
樣,kSimplifiedVariant,样
樫,kSimplifiedVariant,㭴
樳,kSimplifiedVariant,桪
樸,kSimplifiedVariant,朴
樹,kSimplifiedVariant,树
樺,kSimplifiedVariant,桦
樿,kSimplifiedVariant,椫
橈,kSimplifiedVariant,桡
橋,kSimplifiedVariant,桥
機,kSimplifiedVariant,机
橢,kSimplifiedVariant,椭
橫,kSimplifiedVariant,横
檁,kSimplifiedVariant,檩
檉,kSimplifiedVariant,柽
檔,kSimplifiedVariant,档
檜,kSimplifiedVariant,桧
檟,kSimplifiedVariant,槚
檢,kSimplifiedVariant,检
檣,kSimplifiedVariant,樯
檭,kSimplifiedVariant,𣘴
檮,kSimplifiedVariant,梼
檯,kSimplifiedVariant,台
檳,kSimplifiedVariant,槟
檸,kSimplifiedVariant,柠
檻,kSimplifiedVariant,槛
櫃,kSimplifiedVariant,柜
櫓,kSimplifiedVariant,橹
櫚,kSimplifiedVariant,榈
櫛,kSimplifiedVariant,栬
櫝,kSimplifiedVariant,椟
櫞,kSimplifiedVariant,橼
櫟,kSimplifiedVariant,栎
櫥,kSimplifiedVariant,橱
櫧,kSimplifiedVariant,槠
櫨,kSimplifiedVariant,栌
櫪,kSimplifiedVariant,枥
櫫,kSimplifiedVariant,橥
櫬,kSimplifiedVariant,榇
櫱,kSimplifiedVariant,蘖
櫳,kSimplifiedVariant,栊
櫸,kSimplifiedVariant,榉
櫻,kSimplifiedVariant,樱
欄,kSimplifiedVariant,栏
權,kSimplifiedVariant,权
欍,kSimplifiedVariant,𣐤
欏,kSimplifiedVariant,椤
欒,kSimplifiedVariant,栾
欓,kSimplifiedVariant,𣗋
欖,kSimplifiedVariant,榄
欞,kSimplifiedVariant,棂
欽,kSimplifiedVariant,钦
歐,kSimplifiedVariant,欧
歟,kSimplifiedVariant,欤
歡,kSimplifiedVariant,欢
歲,kSimplifiedVariant,岁
歷,kSimplifiedVariant,历
歸,kSimplifiedVariant,归
歿,kSimplifiedVariant,殁
殘,kSimplifiedVariant,残
殞,kSimplifiedVariant,殒
殤,kSimplifiedVariant,殇
殨,kSimplifiedVariant,㱮
殫,kSimplifiedVariant,殚
殮,kSimplifiedVariant,殓
殯,kSimplifiedVariant,殡
殰,kSimplifiedVariant,㱩
殲,kSimplifiedVariant,歼
殺,kSimplifiedVariant,杀
